iter	Passed	Remaining
407	3241	4703
408	3248	4694
409	3254	4682
410	3260	4673
411	3266	4661
412	3271	4650
413	3278	4640
414	3284	4629
415	3290	4618
416	3295	4607
417	3301	4596
418	3306	4585
419	3312	4574
420	3317	4563
421	3324	4552
422	3329	4541
423	3334	4530
424	3341	4520
425	3347	4509
426	3352	4498
427	3358	4489
428	3364	4478
429	3370	4467
430	3375	4456
431	3381	4445
432	3387	4435
433	3393	4425
434	3399	4415
435	3405	4405
436	3411	4394
437	3416	4383
438	3422	4373
439	3428	4363
440	3433	4352
441	3439	4342
442	3445	4331
443	3450	4321
444	3456	4311
445	3462	4300
446	3467	4290
447	3473	4279
448	3479	4269
449	3484	4258
450	3490	4249
451	3496	4239
452	3503	4230
453	3510	4221
454	3518	4214
455	3524	4204
456	3529	4194
457	3536	4184
458	3541	4174
459	3547	4164
460	3553	4154
461	3559	4144
462	3565	4134
463	3570	4124
464	3575	4114
465	3581	4104
466	3588	4095
467	3593	4085
468	3600	4076
469	3605	4066
470	3611	4055
471	3617	4046
472	3622	4036
473	3629	4027
474	3636	4019
475	3641	4009
476	3648	4000
477	3653	3990
478	3659	3980
479	3665	3970
480	3670	3960
481	3676	3951
482	3682	3941
483	3689	3933
484	3696	3924
485	3701	3914
486	3707	3904
487	3713	3896
488	3718	3886
489	3724	3876
490	3730	3867
491	3735	3857
492	3741	3847
493	3747	3838
494	3752	3828
495	3758	3819
496	3764	3809
497	3769	3800
498	3776	3792
499	3782	3782
500	3787	3772
501	3794	3764
502	3800	3755
503	3806	3746
504	3812	3736
505	3817	3727
506	3823	3718
507	3829	3708
508	3835	3699
509	3842	3692
510	3848	3682
511	3854	3674
512	3861	3665
513	3867	3656
514	3873	3648
515	3879	3638
516	3884	3629
517	3891	3620
518	3897	3612
519	3903	3603
520	3909	3593
521	3914	3584
522	3920	3575
523	3925	3566
524	3931	3556
525	3937	3547
526	3942	3538
527	3948	3529
528	3954	3520
529	3959	3511
530	3965	3502
531	3971	3493
532	3977	3484
533	3982	3475
534	3988	3466
535	3994	3458
536	4000	3449
537	4006	3440
538	4011	3431
539	4018	3422
540	4025	3415
541	4030	3406
542	4037	3398
543	4043	3389
544	4048	3380
545	4054	3371
546	4059	3362
547	4065	3353
548	4071	3344
549	4076	3335
550	4082	3327
551	4088	3317
552	4093	3308
553	4100	3300
554	4106	3292
555	4111	3283
556	4117	3275
557	4123	3265
558	4128	3256
559	4134	3248
560	4139	3239
561	4144	3230
562	4150	3221
563	4156	3212
564	4162	3204
565	4167	3195
566	4173	3186
567	4180	3179
568	4186	3170
569	4191	3161
570	4197	3153
571	4204	3145
572	4211	3138
573	4216	3129
574	4222	3120
575	4228	3112
576	4234	3104
577	4239	3095
578	4245	3086
579	4250	3078
580	4256	3069
581	4262	3061
582	4267	3052
583	4272	3043
584	4278	3035
585	4284	3026
586	4289	3018
587	4295	3010
588	4302	3001
589	4307	2993
590	4313	2984
591	4318	2976
592	4324	2967
593	4329	2959
594	4335	2950
595	4341	2942
596	4346	2934
597	4352	2925
598	4360	2918
599	4365	2910
600	4372	2903
601	4378	2894
602	4385	2887
603	4391	2879
604	4397	2870
605	4402	2862
606	4408	2854
607	4416	2847
608	4423	2840
609	4428	2831
610	4434	2823
611	4440	2815
612	4445	2806
613	4451	2798
614	4456	2790
615	4462	2781
616	4467	2773
617	4473	2765
618	4478	2756
619	4484	2748
620	4489	2740
621	4495	2731
622	4500	2723
623	4506	2715
624	4512	2707
625	4518	2699
626	4524	2691
627	4529	2682
628	4535	2675
629	4540	2666
630	4545	2658
631	4552	2650
632	4558	2642
633	4564	2634
634	4570	2626
635	4575	2618
636	4581	2610
637	4586	2602
638	4592	2594
639	4598	2586
640	4604	2579
641	4610	2570
642	4616	2563
643	4622	2555
644	4627	2547
645	4633	2539
646	4639	2531
647	4644	2523
648	4651	2515
649	4656	2507
650	4662	2499
651	4668	2491
652	4673	2483
653	4679	2475
654	4685	2467
655	4690	2459
656	4697	2452
657	4703	2444
658	4709	2436
659	4715	2429
660	4720	2421
661	4726	2413
662	4732	2405
663	4737	2397
664	4744	2390
665	4750	2382
666	4756	2374
667	4763	2367
668	4769	2359
669	4775	2352
670	4782	2344
671	4789	2337
672	4797	2331
673	4804	2323
674	4816	2319
675	4822	2311
676	4830	2304
677	4836	2296
678	4843	2289
679	4849	2282
680	4855	2274
681	4863	2267
682	4869	2260
683	4875	2252
684	4881	2244
685	4887	2237
686	4893	2229
687	4898	2221
688	4905	2214
689	4911	2206
690	4917	2198
691	4923	2191
692	4928	2183
693	4934	2175
694	4940	2167
695	4945	2160
696	4952	2152
697	4958	2145
698	4963	2137
699	4969	2129
700	4975	2122
701	4980	2114
702	4987	2106
703	4992	2099
704	4998	2091
705	5004	2084
706	5010	2076
707	5017	2069
708	5026	2063
709	5039	2058
710	5053	2053
711	5062	2047
712	5075	2042
713	5085	2037
714	5096	2031
715	5103	2024
716	5110	2017
717	5119	2010
718	5127	2003
719	5136	1997
720	5144	1990
721	5151	1983
722	5157	1976
723	5163	1968
724	5169	1960
725	5174	1953
726	5181	1945
727	5186	1937
728	5194	1931
729	5200	1923
730	5205	1915
731	5212	1908
732	5218	1900
733	5224	1893
734	5229	1885
735	5235	1877
736	5240	1870
737	5246	1862
738	5251	1854
739	5257	1847
740	5265	1840
741	5270	1832
742	5279	1826
743	5284	1818
744	5290	1810
745	5295	1803
746	5301	1795
747	5307	1788
748	5313	1780
749	5318	1772
750	5325	1765
751	5331	1758
752	5337	1750
753	5344	1743
754	5349	1735
755	5355	1728
756	5360	1720
757	5366	1713
758	5372	1706
759	5378	1698
760	5383	1690
761	5389	1683
762	5395	1675
763	5400	1668
764	5406	1660
765	5412	1653
766	5418	1646
767	5424	1638
768	5430	1631
769	5436	1623
770	5441	1616
771	5447	1608
772	5453	1601
773	5458	1593
774	5464	1586
775	5470	1579
776	5476	1571
777	5481	1564
778	5488	1556
779	5493	1549
780	5498	1541
781	5504	1534
782	5510	1527
783	5515	1519
784	5521	1512
785	5526	1504
786	5532	1497
787	5538	1490
788	5543	1482
789	5550	1475
790	5555	1468
791	5561	1460
792	5567	1453
793	5573	1446
794	5578	1438
795	5584	1431
796	5590	1423
797	5597	1416
798	5603	1409
799	5608	1402
800	5615	1395
801	5620	1387
802	5626	1380
803	5633	1373
804	5639	1366
805	5644	1358
806	5650	1351
807	5656	1344
808	5661	1336
809	5667	1329
810	5672	1322
811	5678	1314
812	5684	1307
813	5689	1300
814	5696	1292
815	5701	1285
816	5707	1278
817	5713	1271
818	5719	1263
819	5724	1256
820	5730	1249
821	5736	1242
822	5743	1235
823	5748	1227
824	5754	1220
825	5760	1213
826	5766	1206
827	5771	1198
828	5777	1191
829	5783	1184
830	5789	1177
831	5795	1170
832	5800	1162
833	5806	1155
834	5811	1148
835	5817	1141
836	5823	1134
837	5828	1126
838	5834	1119
839	5840	1112
840	5846	1105
841	5852	1098
842	5858	1091
843	5864	1083
844	5869	1076
845	5875	1069
846	5880	1062
847	5886	1055
848	5892	1048
849	5898	1040
850	5903	1033
851	5909	1026
852	5914	1019
853	5920	1012
854	5925	1004
855	5931	997
856	5937	990
857	5943	983
858	5949	976
859	5955	969
860	5961	962
861	5966	955
862	5973	948
863	5978	941
864	5985	934
865	5991	927
866	5996	919
867	6005	913
868	6011	906
869	6018	899
870	6023	892
871	6029	885
872	6035	878
873	6041	871
874	6047	863
875	6053	856
876	6058	849
877	6064	842
878	6070	835
879	6075	828
880	6081	821
881	6087	814
882	6092	807
883	6098	800
884	6104	793
885	6109	786
886	6117	779
887	6123	772
888	6128	765
889	6134	758
890	6139	751
891	6145	744
892	6152	737
893	6157	730
894	6164	723
895	6170	716
896	6176	709
897	6183	702
898	6189	695
899	6195	688
900	6201	681
901	6206	674
902	6213	667
903	6218	660
904	6224	653
905	6230	646
906	6236	639
907	6242	632
908	6248	625
909	6253	618
910	6260	611
